Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: ---- Props ------------
Component Type: UnityEngine.Transform | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Module | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Valuables
Component Type: UnityEngine.Transform | Name: Kitchen Fridge
Component Type: Unity.AI.Navigation.NavMeshModifier | Name: Kitchen Fridge
Component Type: UnityEngine.Transform | Name: Props
Component Type: UnityEngine.Transform | Name: ---- Props ------------
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Non Switch Valuables
Component Type: UnityEngine.Transform | Name: ---- Dependencies ----
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Valuable Parent
Component Type: UnityEngine.Transform | Name: Small (18)
Component Type: ValuablePropSwitch | Name: Small (18)
Component Type: UnityEngine.Transform | Name: Valuable Switch
Component Type: UnityEngine.Transform | Name: ---- Dependencies ----
Component Type: UnityEngine.Transform | Name: Module - Arctic - P - 1 - The C(Clone)
Component Type: Module | Name: Module - Arctic - P - 1 - The C(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - P - 1 - The C(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Non Switch Valuables
Component Type: UnityEngine.Transform | Name: ---- Dependencies ----
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Gym Locker
Component Type: UnityEngine.MeshFilter | Name: Gym Locker
Component Type: UnityEngine.MeshRenderer | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: Unity.AI.Navigation.NavMeshModifier | Name: Gym Locker
Component Type: UnityEngine.Transform | Name: Props
Component Type: UnityEngine.Transform | Name: ---- Props ------------
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Warehouse(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Warehouse(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Warehouse(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Gym Locker
Component Type: UnityEngine.MeshFilter | Name: Gym Locker
Component Type: UnityEngine.MeshRenderer | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: Unity.AI.Navigation.NavMeshModifier | Name: Gym Locker
Component Type: UnityEngine.Transform | Name: Props
Component Type: UnityEngine.Transform | Name: ---- Props ------------
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Warehouse(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Warehouse(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Warehouse(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Non Switch Valuables
Component Type: UnityEngine.Transform | Name: ---- Dependencies ----
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Non Switch Valuables
Component Type: UnityEngine.Transform | Name: ---- Dependencies ----
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Lounge(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Non Switch Valuables
Component Type: UnityEngine.Transform | Name: ---- Props ------------
Component Type: UnityEngine.Transform | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Module | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Gym Locker (2)
Component Type: UnityEngine.MeshFilter | Name: Gym Locker (2)
Component Type: UnityEngine.MeshRenderer | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: Unity.AI.Navigation.NavMeshModifier | Name: Gym Locker (2)
Component Type: UnityEngine.Transform | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Module | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Gym Locker (1)
Component Type: UnityEngine.MeshFilter | Name: Gym Locker (1)
Component Type: UnityEngine.MeshRenderer | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (1)
Component Type: Unity.AI.Navigation.NavMeshModifier | Name: Gym Locker (1)
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Gym Locker
Component Type: UnityEngine.MeshFilter | Name: Gym Locker
Component Type: UnityEngine.MeshRenderer | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: UnityEngine.BoxCollider | Name: Gym Locker
Component Type: Unity.AI.Navigation.NavMeshModifier | Name: Gym Locker
Component Type: UnityEngine.Transform | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Module | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Non Switch Valuables
Component Type: UnityEngine.Transform | Name: ---- Dependencies ----
Component Type: UnityEngine.Transform | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: Module | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - N - 1 - Vat Research(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
Component Type: UnityEngine.Transform | Name: Gym Locker (2)
Component Type: UnityEngine.MeshFilter | Name: Gym Locker (2)
Component Type: UnityEngine.MeshRenderer | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: UnityEngine.BoxCollider | Name: Gym Locker (2)
Component Type: Unity.AI.Navigation.NavMeshModifier | Name: Gym Locker (2)
Component Type: UnityEngine.Transform | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Module | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: Photon.Pun.PhotonView | Name: Module - Arctic - DE - 1 - Garage(Clone)
Component Type: UnityEngine.Transform | Name: Level
Component Type: UnityEngine.Transform | Name: Level Generator

Child Components of Tiny volumes
Component Type: UnityEngine.Transform | Name: Valuable Volume - Tiny
Component Type: ValuableVolume | Name: Valuable Volume - Tiny
